*************,Rating,RatingBinary,prepCommentText,CommentText,UserID,ProductCategory,ProductType,ProductBrand,LinkProduct,ProductName,ProductPrice,PIC,Check,Unnamed: 12
700,1,"[1, 0, 0, 0, 0]",lừa_đảo khách_hàng hình 22 5 w hành 10w nhân_viên hổ trợ bảo đặt_hàng kĩ treo đầu dê thịt chó mua,"lừa đảo khách hàng, trên hình là 22.5w nhưng đặt hành thì là 10w nhờ nhân viên hổ trợ thì bảo là đặt hàng mà xem không kĩ thì chịu. treo đầu dê bán thịt chó à không nên mua",lê H.,Phụ kiện điện thoại& Máy tính bảng,Pin sạc dự phòng,Robot,https://www.lazada.vn/products/pin-du-phong-robot-rt25-ban-nang-cap-cua-rt23-dung-luong-cao-20000mah-cuc-sac-led-hien-thi-pin-nho-gon-2-cong-sac-vao-2-cong-sac-ra-i1340085122-s11796841509.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A1340085122%253Bsrc%253ALazadaMainSrp%253Brn%253A8940165621ebe3a323b487612ab806cc%253Bregion%253Avn%253Bsku%253A1340085122_VNAMZ%253Bprice%253A329000%253Bclient%253Adesktop%253Bsupplier_id%253A200157990106%253Bbiz_source%253Ahttps%253A%252F%252Fwww.lazada.vn%252F%253Bslot%253A15%253Butlog_bucket_id%253A470687%253Basc_category_id%253A9031%253Bitem_id%253A1340085122%253Bsku_id%253A11796841509%253Bshop_id%253A772654%253BtemplateInfo%253A107883_A3_C_D_E%25231103_B_L%2523&freeshipping=1&fs_ab=2&fuse_fs=&lang=vi&location=H%E1%BB%93%20Ch%C3%AD%20Minh&price=3.29E%205&priceCompare=skuId%3A11796841509%3Bsource%3Alazada-search-voucher%3Bsn%3A8940165621ebe3a323b487612ab806cc%3BunionTrace%3A2d7cff1617268652342142788e%3BoriginPrice%3A329000%3BvoucherPrice%3A329000%3BdisplayPrice%3A329000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A1%3BbuyerId%3A0%3Btimestamp%3A1726865234521%3BsearchDisctDet%3A%5B%7B%22discountValue%22%3A0%2C%22newUserVoucher%22%3Afalse%2C%22toolCode%22%3A%22shopPromotionPart%22%2C%22voucherId%22%3A900000029084244%7D%5D&ratingscore=4.859050445103858&request_id=8940165621ebe3a323b487612ab806cc&review=674&sale=2093&search=1&source=search&spm=a2o4n.searchlistcategory.list.15&stock=1,Pin dự phòng ROBOT RT25 [Bản nâng cấp của RT23] dung lượng cao 20000mAh cục sạc led hiển thị pin nhỏ gọn 2 cổng sạc vào 2 cổng sạc ra,329,20200679,,OK
701,5,"[0, 0, 0, 0, 1]",sử_dụng linh_hoạt ngoài_trời ghi_hình video chất_lượng hình_ảnh nét màu_sắc_đẹp đêm,"Sử dụng linh hoạt trong nhà và ngoài trời, Ghi hình video chất lượng cao, Hình ảnh rõ nét và màu sắc đẹp trong đêm,",NGÔ Q.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
702,5,"[0, 0, 0, 0, 1]",sản_phẩm bền tin_cậy ghi_hình video chất_lượng hình_ảnh nét màu_sắc_đẹp đêm thiết_kế sang_trọng hiện_đại,"Sản phẩm bền và đáng tin cậy, Ghi hình video chất lượng cao, Hình ảnh rõ nét và màu sắc đẹp trong đêm, Thiết kế sang trọng và hiện đại,",Long N.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
703,5,"[0, 0, 0, 0, 1]",hình_ảnh nét màu_sắc_đẹp đêm thiết_kế sang_trọng hiện_đại nhận_diện thông_minh 24 7,"Hình ảnh rõ nét và màu sắc đẹp trong đêm, Thiết kế sang trọng và hiện đại, Nhận diện người thông minh AI 24/7,",Kiều P.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
704,5,"[0, 0, 0, 0, 1]",spham ngon bổ rẻ chất_lượng ok hãng chính_sách bảo_hành dễ_dàng lắp_đặt shop,"spham ngon bổ rẻ chất lượng cũng khá OK, chính hãng chính sách bảo hành tốt,dễ dàng lắp đặt.thanh shop",h***n,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/giam-100k-mua-1-tang-1-qua-camera-ezviz-h6c-pro-2mp-trong-nha-mau-ban-dem-nut-nhan-goi-thong-bao-che-do-tuan-tra-247-nhan-dien-thong-minh-i2074215843.html?spm=a2o4n.searchlistcategory.list.207.655050d3Fu6rzk,"Camera EZVIZ H6C Pro 2MP trong nhà, màu ban đêm, nút nhấn gọi thông báo, chế độ tuần tra 24/7, nhận diện thông minh",600,20210600,,OK
705,5,"[0, 0, 0, 0, 1]",bảo_hành 2 yên_tâm phích cắm eu tiện_lợi độ phân_giải 1080p hình_ảnh nét dung_lượng lưu_trữ âm_thanh hai chiều giao_tiếp dễ_dàng ống_kính zoom tăng_cường tầm dung_lượng lưu_trữ âm_thanh hai chiều giao_tiếp dễ_dàng,"Bảo hành 2 năm để yên tâm, Loại phích cắm EU tiện lợi, Độ phân giải cao 1080P cho hình ảnh rõ nét, Có nhiều dung lượng lưu trữ khác nhau, Âm thanh hai chiều để giao tiếp dễ dàng, Ống kính zoom để tăng cường tầm nhìn, Có nhiều dung lượng lưu trữ khác nhau, Âm thanh hai chiều để giao tiếp dễ dàng,",H***.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
706,5,"[0, 0, 0, 0, 1]",thương_hiệu bền_bỉ tin_cậy độ phân_giải 1080p hình_ảnh nét quy_trình cài_đặt dễ_dàng,"Thương hiệu bền bỉ và đáng tin cậy, Độ phân giải cao 1080P cho hình ảnh rõ nét, Quy trình cài đặt dễ dàng,",Huy T.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
707,5,"[0, 0, 0, 0, 1]",phích cắm eu tiện_lợi theo_dõi chuyển_động thông_minh phát_hiện chính_xác,"Loại phích cắm EU tiện lợi, Theo dõi chuyển động thông minh để phát hiện chính xác,",Anh T.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
708,5,"[0, 0, 0, 0, 1]",đóng_gói cẩn_thận giao hàng trục_trặc thẻ_nhớ k lưu_trữ video,Đóng gói cẩn thận giao hàng nhanh Bị trục trặc thẻ nhớ k lưu trữ được video,Bích N.,Camera giám sát,Camera IP kết nối Internet,Ezviz,https://www.lazada.vn/products/c6n-1080p-camera-wifi-ezviz-quay-360-dam-thoai-2-chieu-theo-doi-chuyen-dong-thong-minh-i2569785486.html?spm=a2o4n.searchlistcategory.list.11.655050d3Fu6rzk,"C6N 1080P | Camera wifi Ezviz quay 360, đàm thoại 2 chiều, theo dõi chuyển động thông minh",472,20210600,,OK
709,5,"[0, 0, 0, 0, 1]",đơn_sơ y chan cam,"Nhìn thì khá là đơn sơ , nhưng y chan cam thật .",*******738,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
710,5,"[0, 0, 0, 0, 1]",hang dep giong nhu quang luon tien sip tren 100 000 ma camera bang nhua co ben nang khong hoi cao_gia,hang dep giong nhu quang cao luon tien sip tren 100.000 ma camera bang nhua co ben nang khong Hoi cao gia,PHAM N.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
711,2,"[0, 1, 0, 0, 0]",mua hai bình_thường hộp móp gãy thân hình,Mình mua hai cái. Một cái bình thường. Còn một cái hộp bị móp và gãy phần thân trên như hình.,Phuc G.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
712,5,"[0, 0, 0, 0, 1]",hàng đẹp 5sao,Hàng đẹp giống như thật cho 5sao,To Q.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
713,5,"[0, 0, 0, 0, 1]",nhựa xi giả kim_loại nhìn_chung camera,"bằng nhựa xi giả kim loại, nhìn chung giống camera thật,",*******456,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i1219995688.html?spm=a2o4n.searchlistcategory.list.11.282acc6cAkFsoo,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,23,20210600,,OK
714,1,"[1, 0, 0, 0, 0]",khui hàng ruột lỏng lèo dậy đứt tùm_lum thất_vọng sản_phẩm,"Khui hàng thấy ruột lỏng lèo, dậy đứt tùm lum. Thất vọng với sản phẩm",Chí D.,Camera giám sát,Camera Mô Hình,Coemi,https://www.lazada.vn/products/camera-mo-hinh-gia-chong-trom-nhu-that-co-den-led-i1654769375.html?spm=a2o4n.searchlistcategory.list.62.282acc6cAkFsoo,Camera mô hình giả chống trộm như thật có đèn led,39,20210600,,OK
715,5,"[0, 0, 0, 0, 1]",quảng_cáo hàng chán shop laza da,không đúng như quảng cáo bán hàng chán quá shop à laza da à,9***8,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp5,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
716,5,"[0, 0, 0, 0, 1]",k hình,k giống.hình,*******186,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp6,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
717,5,"[0, 0, 0, 0, 1]",giao hàng hình,"giao hàng không như hình ,chưa tốt",Cường L.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp7,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
718,5,"[0, 0, 0, 0, 1]",giáo tao lao ko,giáo tao lao ko đúng,Vui V.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp8,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
719,5,"[0, 0, 0, 0, 1]",đóng cửa_sổ bật thủ_công nhấp nút xác_nhận hệ_thống nhận_dạng hành_động theo_dõi,Bạn phải đóng Cửa sổ bật lên theo cách thủ công và nhấp vào nút xác nhận để hệ thống nhận dạng hành động Theo dõi!,L***.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp9,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
720,5,"[0, 0, 0, 0, 1]",ok đẹp,Ok đẹp và giống thật,Bùi Đ.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp10,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
721,5,"[0, 0, 0, 0, 1]",hàng ko hình bọn đừa đảo,hàng ko đúng như hình bọn đừa đảo,0***9,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp11,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
722,4,"[0, 0, 0, 1, 0]",hàng hình,Đã nhận hàng đúng như hình,nguyen T.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp12,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
723,1,"[1, 0, 0, 0, 0]",đừng mua sp tốn tiền k quảng_cáo,"mọi người đừng mua sp này, chỉ tốn tiền thôi chứ k như quảng cáo đâu",Nguyen T.,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp13,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
724,1,"[1, 0, 0, 0, 0]",sử_dụng,không sử dụng được,*******732,Camera giám sát,Camera Mô Hình,No Brand,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-i975524496.html?spm=a2o4n.searchlistcategory.list.32.6665cc6criqpp14,Camera mô hình chống trộm camere giả mô phỏng có đèn báo,72,20210600,,OK
725,5,"[0, 0, 0, 0, 1]",thiết_kế gọn nhẹ thích_hợp hoạt_động ngoài_trời di_động thấm sử_dụng,"Thiết kế nhỏ, nhỏ gọn và nhẹ, thích hợp cho các hoạt động ngoài trời, di động và không thấm nước, dễ sử dụng và mang theo,",0***6,Thiết bị số,Máy dò kim loại,No Brand,https://www.lazada.vn/products/1-cai-dinh-vi-que-cam-tay-duoi-long-dat-may-do-kim-loai-gp-con-tro-cam-tay-chong-tham-nuoc-do-nhay-cao-may-do-an-ninh-i2434464880.html?spm=a2o4n.searchlistcategory.list.101.479a4576RiPloE,1 cái định vị que cầm tay dưới lòng đất Máy dò kim loại GP con trỏ cầm tay chống thấm nước độ nhạy cao Máy Dò An Ninh,149,20210600,,OK
726,2,"[0, 1, 0, 0, 0]",máy yếu dò dò đồ nổi nằm đất 10cm trở chào_thua mua uổng tiền lợi_ích,máy quá yếu chỉ dò dò được đồ nổi còn nằm dưới đất khoảng 10cm trở lên thì Chào thua. mua uổng tiền không có lợi ích gì,Anh H.,Thiết bị số,Máy dò kim loại,No Brand,"https://www.lazada.vn/products/di-dong-md-4030-may-do-kim-loai-co-the-dieu-chinh-do-dai-ngoai-troi-dao-vang-tim-kho-bau-san-voi-pin-cho-gia-cong-kim-loai-i2506925340-s12284109278.html?&search=pdp_same_topselling?spm=a2o4n.pdp_revamp.recommendation_1.6.14f15ed9LI86wL&mp=1&scm=1007.16389.286994.0&clickTrackInfo=c88d9c80-5d6c-4952-ba73-948cce60a3b9__2506925340__3465__cate__224806__0.54543895__0.54543895__0.0__0.0__0.0__0.54543895__5__null__null__null__null__null__null____631700.0__0.3003007756846604__4.2__22__442000.0__1002842,522838,1332832,1359914,1469056,1468246,1019849,366514,649019,113326,1242044,1294841,1333836,1002838,874801,1019851,720186,1003848,1243777,1363899,1175849,514918,682235,1036810,1241045,846849,1469275,1243983,404340,525498,1044902,524489,517939,681876,1175850,1036809,1470220,1292886,1293810,1001842,1241177,1021830,1334825,731839,1001844,1379932,1359942,354490,1470979,1498929,357322,357520,1243031,524490__null__null__null__3650.16537_3650.16504_955.3631_955.3632__null__13426__null__0.0__0.0________null__null",Di Động Md-4030 Máy Dò Kim Loại Có Thể Điều Chỉnh Độ Dài Ngoài Trời Đào Vàng Tìm Kho Báu Săn Với Pin Cho Gia Công Kim Loại,442,20210600,,OK
727,5,"[0, 0, 0, 0, 1]",hoàn_hảo tìm_kiếm kho báu ẩn điều_chỉnh chiều thuận_tiện lý_tưởng bắt_đầu giá_trị giá_cả di_động dễ_dàng tuyệt_vời săn kho báu ngoài_trời,"Hoàn hảo cho việc tìm kiếm kho báu ẩn, điều chỉnh chiều dài là thuận tiện, lý tưởng cho người mới bắt đầu, giá trị lớn cho giá cả, di động và dễ dàng mang theo, tuyệt vời cho săn kho báu ngoài trời,",Emma E.,Thiết bị số,Máy dò kim loại,No Brand,"https://www.lazada.vn/products/di-dong-md-4030-may-do-kim-loai-co-the-dieu-chinh-do-dai-ngoai-troi-dao-vang-tim-kho-bau-san-voi-pin-cho-gia-cong-kim-loai-i2506925340-s12284109278.html?&search=pdp_same_topselling?spm=a2o4n.pdp_revamp.recommendation_1.6.14f15ed9LI86wL&mp=1&scm=1007.16389.286994.0&clickTrackInfo=c88d9c80-5d6c-4952-ba73-948cce60a3b9__2506925340__3465__cate__224806__0.54543895__0.54543895__0.0__0.0__0.0__0.54543895__5__null__null__null__null__null__null____631700.0__0.3003007756846604__4.2__22__442000.0__1002842,522838,1332832,1359914,1469056,1468246,1019849,366514,649019,113326,1242044,1294841,1333836,1002838,874801,1019851,720186,1003848,1243777,1363899,1175849,514918,682235,1036810,1241045,846849,1469275,1243983,404340,525498,1044902,524489,517939,681876,1175850,1036809,1470220,1292886,1293810,1001842,1241177,1021830,1334825,731839,1001844,1379932,1359942,354490,1470979,1498929,357322,357520,1243031,524490__null__null__null__3650.16537_3650.16504_955.3631_955.3632__null__13426__null__0.0__0.0________null__null",Di Động Md-4030 Máy Dò Kim Loại Có Thể Điều Chỉnh Độ Dài Ngoài Trời Đào Vàng Tìm Kho Báu Săn Với Pin Cho Gia Công Kim Loại,442,20210600,,OK
728,1,"[1, 0, 0, 0, 0]",chạy lỗi main xấu han rỉ sửa_chữa hàng ko bảo_hành hàng bấm hàng nha đánh_giá tổng_quan ko mua,Chạy vài ngày đã lỗi. Main xấu han rỉ. Không biết đã sửa chữa hay chưa nhưng hàng này ko bảo hành hay trả lại hàng khi đã bấm đã nhận hàng nha các bạn. Đánh giá tổng quan là ko nên mua.,D***.,Linh kiện máy tính,Bo mạch chủ,No Brand,https://www.lazada.vn/products/bo-mach-chu-gigabyte-b250m-d3v-h310-b360-b365-may-tinh-de-ban-ddr4-i2524398247.html?spm=a2o4n.searchlistcategory.list.40.3e8a7b13y5xJmI,Bo Mạch Chủ Gigabyte B250M-D3V H310 B360 B365 Máy Tính Để Bàn DDR4,967,20210600,,OK
